id,customer_name,amount,transaction_date,category,tax_amount,total_amount
86,Customer_85,491.65,2026-02-02,Electronics,49.16,540.81
87,Customer_86,39.05,2026-02-11,Clothing,3.9,42.95
88,Customer_87,429.31,2026-02-03,Home,42.93,472.24
89,Customer_88,268.87,2026-02-02,Electronics,26.89,295.76
90,Customer_89,412.1,2026-01-22,Home,41.21,453.31
91,Customer_90,24.89,2026-01-22,Home,2.49,27.38
92,Customer_91,15.41,2026-01-25,Clothing,1.54,16.95
93,Customer_92,244.63,2026-02-07,Electronics,24.46,269.09
94,Customer_93,398.86,2026-02-07,Books,39.89,438.75
95,Customer_94,288.77,2026-02-04,Clothing,28.88,317.65
96,Customer_95,69.09,2026-02-04,Electronics,6.91,76.0
97,Customer_96,338.11,2026-02-16,Books,33.81,371.92
98,Customer_97,238.55,2026-02-19,Home,23.86,262.41
99,Customer_98,74.9,2026-02-05,Books,7.49,82.39
100,Customer_99,430.32,2026-02-06,Electronics,43.03,473.35
